Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 4: data types,100,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:57 pm GMT,4:31 pm GMT,154.0 mins,87%,95%
Master the tidyverse - session 4: data types,35,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:51 pm GMT,4:36 pm GMT,165.0 mins,17%,17%
Master the tidyverse - session 4: data types,82,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,9%,10%
Master the tidyverse - session 4: data types,43,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:36 pm GMT,155.0 mins,77%,83%
Master the tidyverse - session 4: data types,116,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:25 pm GMT,4:36 pm GMT,130.0 mins,10%,13%
Master the tidyverse - session 4: data types,131,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:13 pm GMT,4:32 pm GMT,139.0 mins,27%,33%
Master the tidyverse - session 4: data types,102,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:58 pm GMT,4:35 pm GMT,36.0 mins,1%,5%
Master the tidyverse - session 4: data types,121,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:32 pm GMT,151.0 mins,24%,26%
Master the tidyverse - session 4: data types,73,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:46 pm GMT,4:32 pm GMT,46.0 mins,27%,100%
Master the tidyverse - session 4: data types,73,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:12 pm GMT,3:46 pm GMT,94.0 mins,56%,100%
Master the tidyverse - session 4: data types,70,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:36 pm GMT,154.0 mins,5%,6%
Master the tidyverse - session 4: data types,126,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,3:05 pm GMT,65.0 mins,3%,7%
Master the tidyverse - session 4: data types,15,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:36 pm GMT,154.0 mins,17%,19%
Master the tidyverse - session 4: data types,21,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:47 pm GMT,4:35 pm GMT,167.0 mins,73%,74%
Master the tidyverse - session 4: data types,63,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:17 pm GMT,4:35 pm GMT,137.0 mins,2%,2%
Master the tidyverse - session 4: data types,56,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:55 pm GMT,4:32 pm GMT,157.0 mins,77%,82%
Master the tidyverse - session 4: data types,56,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:55 pm GMT,4:36 pm GMT,161.0 mins,95%,100%
Master the tidyverse - session 4: data types,77,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:03 pm GMT,4:34 pm GMT,151.0 mins,11%,12%
Master the tidyverse - session 4: data types,55,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,4:33 pm GMT,149.0 mins,13%,15%
Master the tidyverse - session 4: data types,61,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:05 pm GMT,4:32 pm GMT,147.0 mins,33%,38%
Master the tidyverse - session 4: data types,113,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:43 pm GMT,4:07 pm GMT,84.0 mins,9%,17%
Master the tidyverse - session 4: data types,113,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:28 pm GMT,3:48 pm GMT,79.0 mins,47%,100%
Master the tidyverse - session 4: data types,4,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:06 pm GMT,4:32 pm GMT,86.0 mins,1%,2%
Master the tidyverse - session 4: data types,10,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,3:19 pm GMT,77.0 mins,3%,6%
Master the tidyverse - session 4: data types,125,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,4:18 pm GMT,4:32 pm GMT,14.0 mins,1%,8%
Master the tidyverse - session 4: data types,90,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:08 pm GMT,3:40 pm GMT,91.0 mins,8%,15%
Master the tidyverse - session 4: data types,66,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:32 pm GMT,152.0 mins,57%,63%
Master the tidyverse - session 4: data types,40,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:04 pm GMT,4:36 pm GMT,91.0 mins,48%,89%
Master the tidyverse - session 4: data types,76,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:58 pm GMT,4:33 pm GMT,154.0 mins,69%,75%
